,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer,Days_To_Delivery,Price_Unit_Lower_Bound_2SD,Price_Unit_Upper_Bound_2SD,Unit_Price_Annomaly
2532,MREQ-26333-001025,26333,2019-11-08,Section 6,Material,Timber,2440x1220x18mm Shuttering Ply (683573),30,Each,24.32,730.0,Timber Products,2019-11-18,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,SC6R - Roadworks Section 6,2703 - Works on behalf of Statutory Undertakers ,Stores - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,10.0,23.75222109258175,25.21222211420536,0
2534,MREQ-26337-001025,26337,2019-11-08,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,4,Each,13.38,54.0,Small Tools (Consumables),2019-11-12,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,4.0,0.0,1264.3756103515625,0
2536,MREQ-6957-00752,6957,2018-09-25,Section 4,Material,Not on List,Not on List,1,Each,6.8,6.8,Miscellaneous,2018-10-10,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),BN25 - Girton Interchange Bridge A,1702 - Precast Concrete,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,15.0,0.0,19779.141357421875,0
2537,MREQ-26385-001025,26385,2019-11-08,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,49.5,50.0,Concrete Accessories,2019-11-12,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,4.0,0.0,8232.100769042969,0
2538,MREQ-26385-001025,26385,2019-11-08,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,26.5,27.0,Fixings and Fasteners,2019-11-12,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,4.0,0.0,686.6337280273438,0
2540,MREQ-26187-001025,26187,2019-11-06,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,10,Each,25.13,251.3,Miscellaneous,2019-11-08,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,"1401 - Trenches, Ducts and Chambers",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
2544,MREQ-26248-001025,26248,2019-11-06,Section 4,Material,Not on List,Not on List,1,Each,880.88,880.88,Miscellaneous,2019-11-13,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,19779.141357421875,0
2546,MREQ-7153-001020,7153,2018-09-28,Section 4,Material,,OP Cement Multicem Plastic Bag 25kg (210768),112,Each,3.56,398.72,Concrete Drainage,2018-10-03,RVP 413 - 1339629 - The Avenue Site A14 Westbound,SC4C - Roadworks - Dry Drayton to Girton,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,,REQ - Section 4 Buyers,5.0,3.559999942779541,3.559999942779541,0
2555,MREQ-26164-001025,26164,2019-11-05,Section 6,Material,Not on List,Not on List,55,Each,18.97,1043.35,Builders Merchants (General),2019-11-13,S6MC – Mill Common - 1351842 - Mill Common Road Huntingdon  PE29 3AR,,2703 - Works on behalf of Statutory Undertakers,Stores - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,8.0,0.0,978.6569290161133,0
2556,MREQ-7212-001020,7212,2018-10-01,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,1108.8,1108.8,Miscellaneous,2018-10-03,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
2558,MREQ-26215-001025,26215,2019-11-06,Section 4,Material,Not on List,Not on List,1,Each,323.78,323.78,Miscellaneous,2019-11-08,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,19779.141357421875,0
2561,MREQ-26470-001025,26470,2019-11-12,Core,Material,Not on List,Not on List,1,Each,835.86,836.0,Miscellaneous,2019-11-12,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton (Core),PRLM - Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,0.0,0.0,19779.141357421875,0
2562,MREQ-26471-001025,26471,2019-11-12,Section 3,Material,Not on List,Not on List,1,Each,1088.14,1088.0,Miscellaneous,2019-11-12,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM3 - Site Preliminaries,104 - Site Transport,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,0.0,0.0,19779.141357421875,0
2563,MREQ-26472-001025,26472,2019-11-12,Core,Material,"PPE, Small Tools and Consumables",Not on List,2055.14,Each,1.0,2055.0,Janitorial,2019-11-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,110 - Welfare Costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,2.0,0.0,593.6622924804688,0
2565,MREQ-26473-001025,26473,2019-11-12,Section 5,Material,Not on List,Not on List,1,Each,1370.43,1370.0,Miscellaneous,2019-11-12,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers,0.0,0.0,19779.141357421875,0
2566,MREQ-26474-001025,26474,2019-11-12,Section 6,Material,Not on List,Not on List,1,Each,289.29,289.0,Miscellaneous,2019-11-12,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM6 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers,0.0,0.0,19779.141357421875,0
2567,MREQ-26418-001025,26418,2019-11-11,Section 4,Material,Kerbs,Not on List,5,Each,151.94,759.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-11-15,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,125807.83251953125,0
2568,MREQ-26418-001025,26418,2019-11-11,Section 4,Material,Bagged,Not on List,20,Each,31.85,637.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-11-15,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,125807.83251953125,0
2569,MREQ-26418-001025,26418,2019-11-11,Section 4,Material,,Not on List,1,Each,115.0,115.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-11-15,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,125807.83251953125,0
2571,MREQ-26482-001025,26482,2019-11-12,Section 4,Material,Not on List,Not on List,32,Each,6.9,220.8,Concrete Drainage,2019-11-14,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,1479.5375366210938,0
2572,MREQ-26495-001025,26495,2019-11-12,Core,Material,Not on List,Not on List,1,Each,920.0,920.0,Training,2019-11-13,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,1.0,0.0,9148.03955078125,0
2573,MREQ-26496-001025,26496,2019-11-12,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,308.59,309.0,Small Tools (Consumables),2019-11-15,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ (Core)",WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,3.0,0.0,1264.3756103515625,0
2574,MREQ-26496-001025,26496,2019-11-12,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,1089.7,1090.0,PPE,2019-11-15,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ (Core)",WAOC - Working Areas overhead Costs,109 - PPE Costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,3.0,0.0,2104.5404663085938,0
2575,MREQ-26496-001025,26496,2019-11-12,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,56.76,57.0,Janitorial,2019-11-15,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ (Core)",WAOC - Working Areas overhead Costs,110 - Welfare Costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,3.0,0.0,593.6622924804688,0
2578,MREQ-26510-001025,26510,2019-11-12,Core,Material,Not on List,Not on List,1,Each,687.61,688.0,Office Supplies,2019-11-22,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,10.0,0.0,35512.7958984375,0
2579,MREQ-26511-001025,26511,2019-11-12,Core,Material,Not on List,Not on List,1,Each,84.76,85.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2580,MREQ-26512-001025,26512,2019-11-12,Core,Material,Not on List,Not on List,1,Each,1597.5,1598.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2581,MREQ-26513-001025,26513,2019-11-12,Core,Material,Not on List,Not on List,1,Each,270.18,270.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2582,MREQ-26514-001025,26514,2019-11-12,Core,Material,Not on List,Not on List,1,Each,208.04,208.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2583,MREQ-26516-001025,26516,2019-11-12,Core,Material,Not on List,Not on List,1,Each,215.94,216.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2584,MREQ-26517-001025,26517,2019-11-12,Core,Material,Not on List,Not on List,1,Each,135.0,135.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2585,MREQ-26518-001025,26518,2019-11-12,Core,Material,Not on List,Not on List,1,Each,572.4,572.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2586,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,2,Each,212.27,424.54,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2587,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,1,Each,871.8,871.8,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2588,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,30,Each,70.62,2118.6,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2589,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,15,Each,52.97,794.55,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2590,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,15,Each,44.89,673.35,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2591,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,30,Each,48.92,1467.6,Concrete Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,1479.5375366210938,0
2592,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,30,Each,189.0,5670.0,Plastic Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,389.84692001342773,0
2593,MREQ-26406-001025,26406,2019-11-11,Section 4,Material,Not on List,Not on List,200,Each,2.47,494.0,Plastic Drainage,2019-11-21,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,10.0,0.0,389.84692001342773,0
2594,MREQ-26519-001025,26519,2019-11-12,Core,Material,Not on List,Not on List,1,Each,771.38,771.0,Office Supplies,2019-11-29,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,117 - Computer & Acc Charges,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,17.0,0.0,35512.7958984375,0
2598,MREQ-26537-001025,26537,2019-11-13,Section 2,Material,Not on List,Not on List,1,Each,2675.07,2675.0,Miscellaneous,2019-11-13,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,104 - Site Transport,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers,0.0,0.0,19779.141357421875,0
2599,MREQ-26455-001025,26455,2019-11-12,Section 4,Material,Not on List,Not on List,270,Each,36.24,9784.8,Miscellaneous,2019-11-18,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,19779.141357421875,0
2600,MREQ-26455-001025,26455,2019-11-12,Section 4,Material,,Not on List,1,Each,550.0,550.0,Miscellaneous,2019-11-18,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4C - Roadworks - Dry Drayton to Girton,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,19779.141357421875,0
2601,MREQ-26540-001025,26540,2019-11-13,Core,Material,"PPE, Small Tools and Consumables",Not on List,4605.14,Each,1.0,4605.0,PPE,2019-11-18,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,109 - PPE Costs,Operational Approval,,,REQ - Buyers,5.0,0.0,2104.5404663085938,0
2602,MREQ-26484-001025,26484,2019-11-12,Section 4,Material,Not on List,Not on List,5,Each,50.0,250.0,Electrical,2019-11-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,106 - Testing equipment and materials testing,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,4565.5556640625,0
2603,MREQ-7807-001023,7807,2018-10-15,Section 3,Material,Not on List,Not on List,16,Each,36.75,588.0,Builders Merchants (General),2018-11-02,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,18.0,0.0,978.6569290161133,0
2604,MREQ-7968-001023,7968,2018-10-18,Section 4,Material,Not on List,Not on List,16,Each,110.27,1764.32,Geotextiles,2018-10-22,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,604 - Deposition,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,2426.8386840820312,0
2605,MREQ-5162-0080,5162,2018-08-15,Section 4,Material,Concrete Drainage,Not on List,4,Each,376.8,1507.2,Concrete Drainage,2018-08-29,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,1479.5375366210938,0
2608,MREQ-7931-001023,7931,2018-10-17,Section 4,Material,Not on List,Not on List,1,Each,7711.17,7711.17,Damage Charges,2018-10-19,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,101 - Mob/Demob of Compounds,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,3470.1448974609375,1
2613,MREQ-8095-001023,8095,2018-10-22,Section 3,Material,Aggregate,Not on List,3500,Meters3,43.08,150780.0,Aggregate,2018-10-24,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,606 - Import,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,2.0,28.92978858947754,71.72294425964355,0
2614,MREQ-5162-0080,5162,2018-08-15,Section 4,Material,Concrete Drainage,Not on List,2,Each,452.16,904.32,Concrete Drainage,2018-08-29,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,1479.5375366210938,0
2615,MREQ-8095-001023,8095,2018-10-22,Section 3,Material,Aggregate,Not on List,3500,Meters3,43.08,150780.0,Aggregate,2018-10-24,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,606 - Import,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,2.0,28.92978858947754,71.72294425964355,0
2620,MREQ-8106-001023,8106,2018-10-23,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Each,401.56,401.56,Janitorial,2018-10-25,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,593.6622924804688,0
2621,MREQ-5162-0080,5162,2018-08-15,Section 4,Material,Concrete Drainage,Not on List,3,Each,452.16,1356.48,Concrete Drainage,2018-08-29,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,1479.5375366210938,0
2623,MREQ-8108-001023,8108,2018-10-23,Section 4,Material,Not on List,Not on List,4,Each,6.75,27.0,Not Sure,2018-10-25,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,2.0,0.0,2957.732177734375,0
2624,MREQ-8126-001023,8126,2018-10-23,Section 4,Material,Not on List,Not on List,300,Each ,31.37,9411.0,Concrete Drainage,2018-11-05,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,13.0,0.0,1664.6707458496094,0
2625,MREQ-8083-001023,8083,2018-10-22,Section 4,Material,Not on List,Not on List,76,Each ,93.93,7138.68,Concrete Accessories,2018-10-26,RVP 408 - 1339625 - Hazelwell Court - Bar Hill J29 A14 Eastbound,BN23 - Structure BN23,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,339.5176010131836,0
2626,MREQ-8083-001023,8083,2018-10-22,Section 4,Material,Not on List,Not on List,16,Each ,51.87,829.92,Concrete Accessories,2018-10-26,RVP 408 - 1339625 - Hazelwell Court - Bar Hill J29 A14 Eastbound,BN23 - Structure BN23,1704 - Reinforcement for Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,4.0,0.0,339.5176010131836,0
2630,MREQ-8039-001023,8039,2018-10-19,Section 4,Material,Not on List,Not on List,200,Each ,6.98,1396.0,"Concrete Hard Landscaping (Kerbs, Slabs)",2018-10-25,RVP 413 - 1339629 - The Avenue Site A14 Westbound,SC4C - Roadworks - Dry Drayton to Girton,1104 - Footways and Paved Areas,Buyer - Closed,,Yes - Approve,REQ - Section 4 Buyers,6.0,0.0,55.73402118682861,0
2631,MREQ-5162-0080,5162,2018-08-15,Section 4,Material,Concrete Drainage,Not on List,1,Each,452.16,452.16,Concrete Drainage,2018-08-29,RVP 409 - 1339625 - Bar Hill A14 Jcn 29 Westbound (B1050),SC4B - Roadworks - Robins Lane to Dry Drayton,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,14.0,0.0,1479.5375366210938,0
2632,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1500x1000 D/S  (991900),2,Each,121.25,243.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,121.25,121.25,0
2633,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1500x750 D/S  (991899),1,Each,90.94,91.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,90.94000244140625,90.94000244140625,0
2634,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1500X500 D/S  (991898),1,Each,80.51,81.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,80.51000213623047,80.51000213623047,0
2635,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM 1500 Cover Slab 600x600 Opening (989592),1,Each,102.82,103.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,67.13401222229004,189.2260036468506,0
2636,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Seating Ring 600x600 Opening (528483),100,Each,16.49,1649.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,7.976014137268066,31.7821683883667,0
2637,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1200 x 500 D/S  (913180),7,Each,53.01,371.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,42.860403537750244,70.475594997406,0
2638,MREQ-8177-001023,8177,2018-10-24,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1200 x 750 D/S  (913226),7,Each,61.48,430.0,Concrete Drainage,2018-10-29,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,5.0,60.326490700244904,63.613511741161346,0
