,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer
1955,MREQ-6690-00750,6690,2018-09-18 16:38:50,Section 3,Material,Not on List,Not on List,1,,1263.47,1263.47,PPE,2018-09-21 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1956,MREQ-19059-001025,19059,2019-06-13 15:58:45,Section 4,Material,,Not on List,8,EA,14.95,119.6,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-06-20 00:00:00,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1957,MREQ-19059-001025,19059,2019-06-13 15:58:45,Section 4,Material,,Not on List,1,EA,38,38,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-06-20 00:00:00,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1958,MREQ-19059-001025,19059,2019-06-13 15:58:45,Section 4,Material,,Not on List,5,EA,38,190,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-06-20 00:00:00,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1959,MREQ-19059-001025,19059,2019-06-13 15:58:45,Section 4,Material,,Not on List,1,EA,125,125,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-06-20 00:00:00,RVP 427 - 1350307 - Girton - Accessed through A14 W/B towards A428 (on slip road),SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1960,MREQ-18687-001025,18687,2019-06-06 14:38:13,Section 4,Material,Not on List,Not on List,15,Each,15.96,239.4,Small Tools (Consumables),2019-06-10 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1961,MREQ-18687-001025,18687,2019-06-06 14:38:13,Section 4,Material,Not on List,Not on List,15,Each,15.96,239.4,Small Tools (Consumables),2019-06-10 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1962,MREQ-6690-00750,6690,2018-09-18 16:38:50,Section 3,Material,Not on List,Not on List,1,,473.47,473.47,Janitorial,2018-09-21 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,151 - Prelims attendant Labour and Equipment,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1963,MREQ-19212-001025,19212,2019-06-17 10:44:35,Section 3,Material,Not on List,Not on List,6,No,,0,Builders Merchants (General),2019-06-19 00:00:00,Gate D - 1339643 - BN10 Via Main Compound Entrance,SC3A - Roadworks,1104 - Footways and Paved Areas,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1964,MREQ-19213-001025,19213,2019-06-17 11:02:43,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,160,,16.57,2651,Small Tools (Consumables),2019-06-20 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Request - Ops Pass Back,No - Pass Back,,REQ - Section 4 Buyers
1965,MREQ-19215-001025,19215,2019-06-17 11:20:39,Section 4,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-06-19 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1966,MREQ-19192-001025,19192,2019-06-17 07:36:38,Section 5,Material,Plastic Drainage,Not on List,,1,645.65,0,,,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",,,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1967,MREQ-19222-001025,19222,2019-06-17 13:48:22,Section 3,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-06-19 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1968,MREQ-19225-001025,19225,2019-06-17 14:08:23,Section 3,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-06-19 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1969,MREQ-19234-001025,19234,2019-06-17 15:16:46,Section 2,Material,Waste Management,Not on List,1,,,0,Miscellaneous,2019-06-19 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1970,MREQ-19040-001025,19040,2019-06-13 12:01:30,Section 2,Material,"PPE, Small Tools and Consumables",Not on List,32,No.,,0,Miscellaneous,2019-06-18 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1971,MREQ-19066-001025,19066,2019-06-13 16:24:23,Section 2,Material,Not on List,Not on List,11,,,0,Miscellaneous,2019-06-26 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,GN2A - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1972,MREQ-19066-001025,19066,2019-06-13 16:24:23,Section 2,Material,Not on List,Not on List,6,,,0,Miscellaneous,2019-06-26 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,GN2A - Gantry structures,1804 - Portal Gantries,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1973,MREQ-19042-001025,19042,2019-06-13 08:42:41,Section 6,Material,Concrete Drainage,Not on List,26,,58,1508,Concrete Drainage,2019-06-17 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,,2703 - Works on behalf of Statutory Undertakers,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
1974,MREQ-19042-001025,19042,2019-06-13 08:42:41,Section 6,Material,Concrete Drainage,Not on List,5,,6.76,33.8,Concrete Drainage,2019-06-17 00:00:00,Section 2 Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,,2703 - Works on behalf of Statutory Undertakers,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S6 Buyers
1975,MREQ-19247-001025,19247,2019-06-17 15:57:09,Core,Material,Not on List,Not on List,1,,,0,Small Tools (Consumables),2019-06-20 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198 (Core),WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
1976,MREQ-19268-001025,19268,2019-06-18 09:07:29,Core,Material,Not on List,Not on List,1,number,,0,Miscellaneous,2019-06-21 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,111 - Stationery /Postage,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
1977,MREQ-19230-001025,19230,2019-06-17 14:55:35,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,50,Each,3.88,194,Small Tools (Consumables),2019-06-20 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1978,MREQ-19221-001025,19221,2019-06-17 13:45:19,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,,229.62,229.62,Small Tools (Consumables),2019-06-21 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1979,MREQ-19124-001025,19124,2019-06-14 12:01:01,Section 2,Material,Not on List,Not on List,2,,,0,Ductile Drainage,2019-06-19 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN05 - Great River Ouse Viaduct,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1980,MREQ-19124-001025,19124,2019-06-14 12:01:01,Section 2,Material,Not on List,Not on List,2,,,0,Ductile Drainage,2019-06-19 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN05 - Great River Ouse Viaduct,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1981,MREQ-19124-001025,19124,2019-06-14 12:01:01,Section 2,Material,Not on List,Not on List,2,,,0,Ductile Drainage,2019-06-19 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN05 - Great River Ouse Viaduct,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1982,MREQ-19124-001025,19124,2019-06-14 12:01:01,Section 2,Material,Not on List,Not on List,2,,,0,Ductile Drainage,2019-06-19 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,BN05 - Great River Ouse Viaduct,1802 - Miscellaneous Metalwork,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
1983,MREQ-16319-001025,16319,2019-04-24 09:46:07,Section 4,Material,,,1,Each,39.22,39.22,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1984,MREQ-16319-001025,16319,2019-04-24 09:46:07,Section 4,Material,,,1,Each,39.22,39.22,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1985,MREQ-16319-001025,16319,2019-04-24 09:46:07,Section 4,Material,,,5,Each,34.93,174.65,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1986,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1987,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,3,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1988,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1989,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1990,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1991,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1992,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1993,MREQ-16677-001025,16677,2019-04-30 15:53:46,Section 5,Material,Concrete Drainage,Not on List,1,No ,,0,Concrete Drainage,2019-05-08 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,502 - Chambers & Gullies,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
1994,MREQ-16320-001025,16320,2019-04-24 14:15:49,Section 4,Material,,,3,Each,35.91,107.73,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-07 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1995,MREQ-16320-001025,16320,2019-04-24 14:15:49,Section 4,Material,Not on List,,5,Each,250.64,1253.2,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-07 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1996,MREQ-16320-001025,16320,2019-04-24 14:15:49,Section 4,Material,,,1,Each,170,170,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-07 00:00:00,"RVP 418 - 1347987 - East of Jcn 29, A14 Eastbound",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
1997,MREQ-16830-001025,16830,2019-05-02 15:51:16,Section 3,Material,,Concrete Flat Top Edging 50x150x915  (805282),400,Each,2.31,924,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-03 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1998,MREQ-16835-001025,16835,2019-05-02 16:39:58,Section 3,Material,Not on List,Not on List,1000,No,,0,Builders Merchants (General),2019-05-07 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,503 - Headwalls and Outfall Works,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
1999,MREQ-16835-001025,16835,2019-05-02 16:39:58,Section 3,Material,Not on List,Not on List,1000,No,,0,Builders Merchants (General),2019-05-07 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,503 - Headwalls and Outfall Works,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
2000,MREQ-16322-001025,16322,2019-04-24 14:26:41,Section 4,Material,,,110,Each,30.73,3380.3,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-17 00:00:00,RVP 415 - 1339630 - Girton Underpass Huntingdon Rd A1307,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2001,MREQ-16322-001025,16322,2019-04-24 14:26:41,Section 4,Material,,,2,EA,36.31,72.62,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-17 00:00:00,RVP 415 - 1339630 - Girton Underpass Huntingdon Rd A1307,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2002,MREQ-16322-001025,16322,2019-04-24 14:26:41,Section 4,Material,,,2,EA,250.64,501.28,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-17 00:00:00,RVP 415 - 1339630 - Girton Underpass Huntingdon Rd A1307,SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2003,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,Timber,2440x1220x18mm Shuttering Ply (683573),100,Each,24.32,2432,Timber Products,2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2004,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,Timber,47x100x4800mm Sawn Timber (206910),50,Each,6.82,341,Timber Products,2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2005,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,Timber,Not on List,50,Each,,0,Timber Products,2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2006,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,Not on List,Not on List,5,Packs,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2007,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,10,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2008,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,5,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2009,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,5,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2010,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,5,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2011,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2012,MREQ-6330-00670,6330,2018-09-11 13:20:41,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,198,Each,7.9,1564.2,Miscellaneous,2018-09-14 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2013,MREQ-16838-001025,16838,2019-05-02 16:43:55,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,1,Number,,0,Builders Merchants (General),2019-05-08 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,PLM4 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2014,MREQ-16633-001025,16633,2019-04-30 10:29:00,Section 4,Material,,,3400,Each,19.96,67864,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-27 00:00:00,"RVP 428 - 1352015&nbsp; On Slip, A14 Eastbound between Jcn 30 – 31",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2015,MREQ-16633-001025,16633,2019-04-30 10:29:00,Section 4,Material,,,27,Each,250.64,6767.28,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-27 00:00:00,"RVP 428 - 1352015&nbsp; On Slip, A14 Eastbound between Jcn 30 – 31",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2016,MREQ-16633-001025,16633,2019-04-30 10:29:00,Section 4,Material,,,16,Each,40.16,642.56,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-27 00:00:00,"RVP 428 - 1352015&nbsp; On Slip, A14 Eastbound between Jcn 30 – 31",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2017,MREQ-16633-001025,16633,2019-04-30 10:29:00,Section 4,Material,,,4,Each,4.9,19.6,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-27 00:00:00,"RVP 428 - 1352015&nbsp; On Slip, A14 Eastbound between Jcn 30 – 31",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2018,MREQ-16633-001025,16633,2019-04-30 10:29:00,Section 4,Material,,,200,Each,12.5,2500,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-05-27 00:00:00,"RVP 428 - 1352015&nbsp; On Slip, A14 Eastbound between Jcn 30 – 31",SC4C - Roadworks - Dry Drayton to Girton,1102 - Combined Drainage and Kerb Units,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2019,MREQ-16851-001025,16851,2019-05-03 08:06:01,Section 5,Material,Twinwall,Not on List,42,No ,,0,Plastic Drainage,2019-05-07 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,501 - Drains,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
2020,MREQ-6329-00688,6329,2018-09-11 13:15:16,Section 4,Material,"PPE, Small Tools and Consumables",Not on List,156,Each,15.37,2397.72,Miscellaneous,2018-09-13 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2021,MREQ-16851-001025,16851,2019-05-03 08:06:01,Section 5,Material,Twinwall,Not on List,7,No ,,0,Plastic Drainage,2019-05-07 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,501 - Drains,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
2022,MREQ-16851-001025,16851,2019-05-03 08:06:01,Section 5,Material,Twinwall,Not on List,55,No ,,0,Plastic Drainage,2019-05-07 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,501 - Drains,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
2023,MREQ-16851-001025,16851,2019-05-03 08:06:01,Section 5,Material,Twinwall,Not on List,6,No ,,0,Plastic Drainage,2019-05-07 00:00:00,"EB5/12  Stockyard Access - 1356566 - A14 Eastbound,  On Left between Jcn 32 - 33",SEC5 - Roadworks,501 - Drains,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
2024,MREQ-16780-001025,16780,2019-05-02 08:09:47,Section 4,Material,Not on List,Not on List,50,Each,4.95,247.5,Concrete Accessories,2019-05-08 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2025,MREQ-16780-001025,16780,2019-05-02 08:09:47,Section 4,Material,Not on List,Not on List,8,Each,166.22,1329.76,Concrete Accessories,2019-05-08 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,503 - Headwalls and Outfall Works,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
2026,MREQ-16871-001025,16871,2019-05-03 10:30:20,Section 5,Material,"PPE, Small Tools and Consumables",Not on List,2,Each,,0,PPE,2019-05-08 00:00:00,"Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,102 - Compound running costs,Commercial Approval,Yes - Approve,,Req - S5 Buyers
